defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,standard_error,failure_rate,timeout_rate,mean_episode_length,detection_rate
10.0,8.0,1.25,250,76,0.304,0.029091854530091405,0.696,0.0,22.008,1.0
10.0,10.0,1.0,250,71,0.284,0.028519747544464694,0.716,0.0,20.964,1.0
10.0,12.0,0.8333333333333334,250,55,0.22,0.026199236630100504,0.78,0.0,24.244,1.0
10.0,14.0,0.7142857142857143,250,49,0.196,0.025106493184035083,0.804,0.0,27.836,1.0
10.0,16.0,0.625,250,49,0.196,0.025106493184035083,0.804,0.0,37.444,1.0
10.0,18.0,0.5555555555555556,250,43,0.172,0.023867634989667492,0.828,0.0,43.52,1.0
12.0,8.0,1.5,250,134,0.536,0.031540703860250166,0.464,0.0,20.392,1.0
12.0,10.0,1.2,250,71,0.284,0.028519747544464694,0.716,0.0,20.884,1.0
12.0,12.0,1.0,250,58,0.232,0.02669651662670619,0.768,0.0,22.596,1.0
12.0,14.0,0.8571428571428571,250,60,0.24,0.027011108825814614,0.76,0.0,26.928,1.0
12.0,16.0,0.75,250,37,0.148,0.022458495051984228,0.852,0.0,39.032,1.0
12.0,18.0,0.6666666666666666,250,26,0.104,0.019306372005117898,0.896,0.0,48.996,1.0
14.0,8.0,1.75,250,157,0.628,0.030569003909188798,0.372,0.0,19.76,1.0
14.0,10.0,1.4,250,97,0.388,0.030819214785584657,0.612,0.0,19.904,1.0
14.0,12.0,1.1666666666666667,250,70,0.28,0.028397182958878157,0.72,0.0,21.548,1.0
14.0,14.0,1.0,250,84,0.336,0.02987333258945175,0.664,0.0,25.392,1.0
14.0,16.0,0.875,250,56,0.224,0.02636846601529941,0.776,0.0,34.816,1.0
14.0,18.0,0.7777777777777778,250,39,0.156,0.022948986905743794,0.844,0.0,44.1,1.0
16.0,8.0,2.0,250,156,0.624,0.030634882079094088,0.376,0.0,19.776,1.0
16.0,10.0,1.6,250,131,0.524,0.0315863261554743,0.476,0.0,18.808,1.0
16.0,12.0,1.3333333333333333,250,85,0.34,0.029959973297718406,0.66,0.0,21.22,1.0
16.0,14.0,1.1428571428571428,250,84,0.336,0.02987333258945175,0.664,0.0,23.708,1.0
16.0,16.0,1.0,250,71,0.284,0.028519747544464694,0.716,0.0,31.084,1.0
16.0,18.0,0.8888888888888888,250,68,0.272,0.028143631606457616,0.728,0.0,37.616,1.0
18.0,8.0,2.25,250,148,0.592,0.031082857011542554,0.408,0.0,20.2,1.0
18.0,10.0,1.8,250,139,0.556,0.03142381262673261,0.444,0.0,18.292,1.0
18.0,12.0,1.5,250,110,0.44,0.031394266992557734,0.56,0.0,19.52,1.0
18.0,14.0,1.2857142857142858,250,98,0.392,0.030876269204682096,0.608,0.0,21.7,1.0
18.0,16.0,1.125,250,107,0.428,0.031293194148248916,0.572,0.0,27.1,1.0
18.0,18.0,1.0,250,87,0.348,0.030126134833396732,0.652,0.0,33.452,1.0
20.0,8.0,2.5,250,146,0.584,0.031173321927571336,0.416,0.0,20.296,1.0
20.0,10.0,2.0,250,121,0.484,0.03160658159307963,0.516,0.0,18.892,1.0
20.0,12.0,1.6666666666666667,250,128,0.512,0.03161366793018488,0.488,0.0,17.384,1.0
20.0,14.0,1.4285714285714286,250,98,0.392,0.030876269204682096,0.608,0.0,21.772,1.0
20.0,16.0,1.25,250,110,0.44,0.031394266992557734,0.56,0.0,25.508,1.0
20.0,18.0,1.1111111111111112,250,117,0.468,0.03155794670126687,0.532,0.0,30.22,1.0
22.0,8.0,2.75,250,128,0.512,0.03161366793018488,0.488,0.0,21.032,1.0
22.0,10.0,2.2,250,125,0.5,0.03162277660168379,0.5,0.0,18.5,1.0
22.0,12.0,1.8333333333333333,250,125,0.5,0.03162277660168379,0.5,0.0,17.42,1.0
22.0,14.0,1.5714285714285714,250,113,0.452,0.031476721557366805,0.548,0.0,21.104,1.0
22.0,16.0,1.375,250,114,0.456,0.03150009523795127,0.544,0.0,26.748,1.0
22.0,18.0,1.2222222222222223,250,113,0.452,0.031476721557366805,0.548,0.0,29.812,1.0
