seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,mean_tracking_error,final_tracking_error,policy_name
0,intercepted,1,14,1,10,14,12.0,18.0,15.0,2.5,2.0,6.850677,0.80150723,1000,0.8950157463550568,2.004425048828125,kalman_baseline
1,soldier_caught,0,22,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.8273141,2.2261262,1000,3.0306753462011162,3.822953462600708,kalman_baseline
2,soldier_caught,0,22,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9001012,3.8339286,1000,2.9351113392756534,1.974349856376648,kalman_baseline
3,soldier_caught,0,13,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8347726,5.895615,1000,1.5131495475769043,4.940669059753418,kalman_baseline
4,soldier_caught,0,26,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.6601462,4.397118,1000,2.3562361873113193,2.738510847091675,kalman_baseline
5,intercepted,1,41,1,11,41,12.0,18.0,15.0,2.5,2.0,2.397998,1.3521311,1000,3.023629819193194,3.3779778480529785,kalman_baseline
6,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.8410249,5.6934376,1000,0.8062713481485844,1.3816639184951782,kalman_baseline
7,intercepted,1,20,1,12,20,12.0,18.0,15.0,2.5,2.0,2.013792,0.20927663,1000,2.161249745223257,2.2445602416992188,kalman_baseline
8,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,8.335613,0.6035943,1000,1.044345647096634,1.5535962581634521,kalman_baseline
9,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9628491,2.9719336,1000,1.116591250896454,2.425374746322632,kalman_baseline
10,intercepted,1,45,1,8,45,12.0,18.0,15.0,2.5,2.0,2.2642453,2.487152,1000,2.6234412005073144,2.3466615676879883,kalman_baseline
11,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,6.5241723,2.3084588,1000,0.582147017121315,0.8535622954368591,kalman_baseline
12,soldier_caught,0,29,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.9204516,3.226078,1000,3.1676025353372097,3.5796427726745605,kalman_baseline
13,soldier_caught,0,20,1,16,-1,12.0,18.0,15.0,2.5,2.0,1.846392,4.737877,1000,1.4662257790565492,1.8968255519866943,kalman_baseline
14,soldier_caught,0,11,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.8982773,5.5422907,1000,1.5109333395957947,2.5532419681549072,kalman_baseline
15,soldier_caught,0,17,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.7008288,4.3172784,1000,1.831319522857666,2.9269626140594482,kalman_baseline
16,soldier_caught,0,21,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.9368945,3.632284,1000,3.1939188738663993,3.622929096221924,kalman_baseline
17,soldier_caught,0,17,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.6809993,2.9020483,1000,2.231994686441289,4.986123085021973,kalman_baseline
18,soldier_caught,0,19,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.4187804,5.255801,1000,1.744704252907208,4.228628635406494,kalman_baseline
19,intercepted,1,19,1,14,19,12.0,18.0,15.0,2.5,2.0,3.281865,0.1586302,1000,2.012054979801178,0.8004437685012817,kalman_baseline
20,soldier_caught,0,17,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.3437619,1.6067119,1000,1.9373487114906311,2.3210999965667725,kalman_baseline
21,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,4.0091643,2.0970612,1000,1.0474683046340942,1.3915398120880127,kalman_baseline
22,soldier_caught,0,19,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8411186,2.778985,1000,2.5549275477727256,2.238041639328003,kalman_baseline
23,soldier_caught,0,28,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.0490384,3.2433848,1000,2.857598591791956,2.044189214706421,kalman_baseline
24,intercepted,1,8,1,7,8,12.0,18.0,15.0,2.5,2.0,6.401523,1.4992034,1000,0.6683408319950104,0.8874567747116089,kalman_baseline
25,soldier_caught,0,15,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.0276468,3.3615825,1000,0.9264258146286011,1.1029072999954224,kalman_baseline
26,intercepted,1,14,1,10,14,12.0,18.0,15.0,2.5,2.0,8.41247,2.2362187,1000,0.6714843153953552,0.28784576058387756,kalman_baseline
27,soldier_caught,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.5240359,3.0823874,1000,2.40052850950848,3.460874557495117,kalman_baseline
28,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8513391,4.3441596,1000,1.6610043687479836,3.415924310684204,kalman_baseline
29,intercepted,1,21,1,7,21,12.0,18.0,15.0,2.5,2.0,2.1669781,0.7393029,1000,2.8528322617212933,3.608771562576294,kalman_baseline
30,soldier_caught,0,12,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4225085,5.3830357,1000,1.234995166460673,1.709443211555481,kalman_baseline
31,soldier_caught,0,18,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8841782,3.4106648,1000,2.445549249649048,2.577122688293457,kalman_baseline
32,soldier_caught,0,24,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6136215,2.7501872,1000,2.0392593344052634,1.9920315742492676,kalman_baseline
33,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,5.0093403,1.8710641,1000,1.1184295217196147,0.7112793326377869,kalman_baseline
34,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.37315482,2.9143393,1000,2.3942991154534474,2.72367525100708,kalman_baseline
35,soldier_caught,0,10,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4747838,4.8894153,1000,0.936434805393219,0.6391773223876953,kalman_baseline
