seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
0,intercepted,1,29,278.30524,1,8,29,2.0100589,1.6138446,3.8061965,1.6138446,12.0,18.0,15.0,2.5,2.0
1,soldier_caught,0,22,170.58377,1,10,-1,1.9227045,4.876176,1.9227045,9.221459,12.0,18.0,15.0,2.5,2.0
2,soldier_caught,0,17,77.92972,1,8,-1,1.9580301,4.1621127,1.9580301,4.1621127,12.0,18.0,15.0,2.5,2.0
3,intercepted,1,26,309.8366,1,10,26,2.3696434,2.2150784,4.759346,2.2150784,12.0,18.0,15.0,2.5,2.0
4,soldier_caught,0,17,84.45116,1,12,-1,1.7966875,8.359659,1.7966875,20.419048,12.0,18.0,15.0,2.5,2.0
5,soldier_caught,0,18,71.87756,1,13,-1,1.658934,3.1025825,1.658934,3.1025825,12.0,18.0,15.0,2.5,2.0
6,soldier_caught,0,35,52.934204,1,9,-1,0.6595418,3.6202383,0.6595418,7.229499,12.0,18.0,15.0,2.5,2.0
7,unsafe_intercept,0,41,61.86606,1,10,-1,2.2679396,0.82711685,2.2928884,0.82711685,12.0,18.0,15.0,2.5,2.0
8,intercepted,1,18,316.91528,1,13,18,3.3245125,1.5514646,3.643258,1.5514646,12.0,18.0,15.0,2.5,2.0
9,unsafe_intercept,0,19,6.2239075,1,9,-1,2.3151402,1.9992999,2.3151402,1.9992999,12.0,18.0,15.0,2.5,2.0
10,intercepted,1,40,260.44955,1,8,40,2.2642453,2.2723215,4.714948,2.2723215,12.0,18.0,15.0,2.5,2.0
11,soldier_caught,0,14,59.65834,1,13,-1,1.9582318,0.19196633,1.9582318,0.19196633,12.0,18.0,15.0,2.5,2.0
12,intercepted,1,27,383.48767,1,14,27,4.8139024,1.1879551,5.59494,1.1879551,12.0,18.0,15.0,2.5,2.0
13,intercepted,1,23,341.434,1,15,23,3.1931658,1.9404738,8.671289,1.9404738,12.0,18.0,15.0,2.5,2.0
14,intercepted,1,39,276.87323,1,9,39,2.0742862,2.1082175,4.215233,2.1082175,12.0,18.0,15.0,2.5,2.0
15,soldier_caught,0,27,121.70494,1,12,-1,0.47833127,3.534257,0.47833127,10.137472,12.0,18.0,15.0,2.5,2.0
16,soldier_caught,0,14,36.74788,1,9,-1,1.8014227,7.608696,1.8014227,17.568874,12.0,18.0,15.0,2.5,2.0
17,intercepted,1,15,325.73267,1,11,15,5.70231,2.2507868,5.70231,2.2507868,12.0,18.0,15.0,2.5,2.0
18,soldier_caught,0,21,111.1405,1,14,-1,1.4657803,4.8607388,1.4657803,6.879489,12.0,18.0,15.0,2.5,2.0
19,intercepted,1,22,379.454,1,12,22,6.2680826,2.023203,6.942085,2.023203,12.0,18.0,15.0,2.5,2.0
20,intercepted,1,16,252.13383,1,6,16,4.603075,2.185849,4.603075,2.185849,12.0,18.0,15.0,2.5,2.0
21,soldier_caught,0,17,82.35005,1,11,-1,0.62451726,8.16336,0.62451726,10.077256,12.0,18.0,15.0,2.5,2.0
22,intercepted,1,18,324.53128,1,10,18,3.4341848,0.54559696,6.933013,0.54559696,12.0,18.0,15.0,2.5,2.0
23,intercepted,1,24,310.20428,1,8,24,2.06926,1.7274721,6.0686293,1.7274721,12.0,18.0,15.0,2.5,2.0
24,soldier_caught,0,9,93.92061,1,7,-1,1.8203231,7.675412,1.8203231,11.0125,12.0,18.0,15.0,2.5,2.0
25,soldier_caught,0,15,136.17062,1,13,-1,1.6656975,10.371189,1.6656975,16.079308,12.0,18.0,15.0,2.5,2.0
26,intercepted,1,13,288.78815,1,9,13,5.861641,1.500928,5.861641,1.500928,12.0,18.0,15.0,2.5,2.0
27,intercepted,1,19,299.57675,1,9,19,2.4545128,0.5984509,4.481682,0.5984509,12.0,18.0,15.0,2.5,2.0
28,soldier_caught,0,18,150.33165,1,12,-1,1.8513391,4.552234,1.8513391,7.702813,12.0,18.0,15.0,2.5,2.0
29,soldier_caught,0,9,7.7080536,1,6,-1,0.802609,5.6016974,0.802609,11.077891,12.0,18.0,15.0,2.5,2.0
30,soldier_caught,0,18,113.78032,1,9,-1,1.6707774,5.259674,1.6707774,10.769553,12.0,18.0,15.0,2.5,2.0
31,unsafe_intercept,0,18,82.174286,1,11,-1,2.5259833,1.8128587,3.3873703,1.8128587,12.0,18.0,15.0,2.5,2.0
32,intercepted,1,26,270.0514,1,11,26,2.9766152,2.357219,7.5083804,2.357219,12.0,18.0,15.0,2.5,2.0
33,soldier_caught,0,15,56.858734,1,11,-1,0.83462703,4.4677396,0.83462703,9.926769,12.0,18.0,15.0,2.5,2.0
34,soldier_caught,0,16,155.70686,1,13,-1,1.9921284,7.0438056,1.9921284,11.37531,12.0,18.0,15.0,2.5,2.0
35,intercepted,1,12,268.9525,1,8,12,4.726845,1.6580962,4.7624526,1.6580962,12.0,18.0,15.0,2.5,2.0
36,soldier_caught,0,22,78.63081,1,9,-1,0.99819374,3.3155148,0.99819374,13.88904,12.0,18.0,15.0,2.5,2.0
37,intercepted,1,9,293.30304,1,8,9,7.262544,1.9916856,7.262544,1.9916856,12.0,18.0,15.0,2.5,2.0
38,intercepted,1,22,334.6593,1,13,22,2.2742507,1.9296355,5.2931147,1.9296355,12.0,18.0,15.0,2.5,2.0
39,intercepted,1,16,251.42061,1,6,16,3.661382,0.6418586,6.7491665,0.6418586,12.0,18.0,15.0,2.5,2.0
40,soldier_caught,0,28,55.67354,1,16,-1,1.9450603,4.1395164,1.9450603,5.1703377,12.0,18.0,15.0,2.5,2.0
41,intercepted,1,16,302.75134,1,13,16,5.56553,2.1583042,6.984139,2.1583042,12.0,18.0,15.0,2.5,2.0
42,soldier_caught,0,11,87.596054,1,9,-1,0.9473715,9.628117,0.9473715,11.09543,12.0,18.0,15.0,2.5,2.0
43,soldier_caught,0,37,201.0274,1,17,-1,1.4844613,5.0875797,1.4844613,18.275133,12.0,18.0,15.0,2.5,2.0
44,soldier_caught,0,15,4.2092133,1,9,-1,1.8135026,11.237959,1.8135026,15.769308,12.0,18.0,15.0,2.5,2.0
45,soldier_caught,0,24,45.48781,1,6,-1,1.1864974,2.750146,1.1864974,4.8785844,12.0,18.0,15.0,2.5,2.0
46,soldier_caught,0,17,38.23889,1,13,-1,0.7952421,4.6352453,0.7952421,12.941553,12.0,18.0,15.0,2.5,2.0
47,soldier_caught,0,14,160.7626,1,10,-1,1.9022613,2.9974368,1.9022613,4.8515873,12.0,18.0,15.0,2.5,2.0
48,soldier_caught,0,19,122.72745,1,8,-1,1.5211154,3.825853,1.5211154,7.7764773,12.0,18.0,15.0,2.5,2.0
49,intercepted,1,35,309.9278,1,10,35,2.0176046,1.976123,4.0332484,1.976123,12.0,18.0,15.0,2.5,2.0
