seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
0,soldier_caught,0,53,-153.62778,1,8,-1,0.8182259,5.151692,0.8182259,47.912193,12.0,18.0,15.0,2.5,2.0
1,soldier_caught,0,28,-9.854736,1,8,-1,1.8203143,10.066095,1.8203143,29.543837,12.0,18.0,15.0,2.5,2.0
2,soldier_caught,0,15,48.8864,0,-1,-1,0.43360275,14.118426,0.43360275,14.118426,12.0,18.0,15.0,2.5,2.0
3,soldier_caught,0,22,-40.956028,0,-1,-1,1.0631849,21.418413,1.0631849,42.7565,12.0,18.0,15.0,2.5,2.0
4,soldier_caught,0,22,-73.932556,1,8,-1,0.60788137,9.568627,0.60788137,40.47275,12.0,18.0,15.0,2.5,2.0
5,soldier_caught,0,14,40.818054,0,-1,-1,1.0183659,21.81836,1.0183659,22.988213,12.0,18.0,15.0,2.5,2.0
6,soldier_caught,0,28,-101.709724,0,-1,-1,1.8848188,16.454918,1.8848188,38.464336,12.0,18.0,15.0,2.5,2.0
7,soldier_caught,0,20,-19.245026,0,-1,-1,1.629627,23.193312,1.629627,49.81364,12.0,18.0,15.0,2.5,2.0
8,soldier_caught,0,34,43.31772,0,-1,-1,1.7742877,27.950186,1.7742877,35.23753,12.0,18.0,15.0,2.5,2.0
9,soldier_caught,0,27,-75.08887,1,14,-1,1.8628391,8.289584,1.8628391,35.688667,12.0,18.0,15.0,2.5,2.0
10,soldier_caught,0,59,-99.9996,1,8,-1,0.78643227,8.327805,0.78643227,53.292606,12.0,18.0,15.0,2.5,2.0
11,soldier_caught,0,30,-9.28801,1,30,-1,1.7234967,4.238489,1.7234967,4.238489,12.0,18.0,15.0,2.5,2.0
12,soldier_caught,0,63,-50.37584,1,12,-1,0.5526617,5.8714085,0.5526617,39.034374,12.0,18.0,15.0,2.5,2.0
13,soldier_caught,0,35,90.34195,0,-1,-1,1.4952791,11.656975,1.4952791,11.656975,12.0,18.0,15.0,2.5,2.0
14,soldier_caught,0,19,-89.21745,0,-1,-1,1.9458698,31.794914,1.9458698,47.39533,12.0,18.0,15.0,2.5,2.0
15,soldier_caught,0,41,-43.400444,1,10,-1,1.85352,3.6881766,1.85352,42.174778,12.0,18.0,15.0,2.5,2.0
16,soldier_caught,0,15,-119.301315,0,-1,-1,1.575502,31.151468,1.575502,46.55277,12.0,18.0,15.0,2.5,2.0
17,soldier_caught,0,56,-51.662422,1,11,-1,1.7118043,9.96215,1.7118043,37.24255,12.0,18.0,15.0,2.5,2.0
18,soldier_caught,0,29,-28.01706,1,17,-1,0.8782353,12.959851,0.8782353,30.487267,12.0,18.0,15.0,2.5,2.0
19,soldier_caught,0,23,-60.11426,1,9,-1,1.0212471,4.904528,1.0212471,50.842762,12.0,18.0,15.0,2.5,2.0
20,soldier_caught,0,31,-97.393845,0,-1,-1,1.5912049,18.319908,1.5912049,51.043705,12.0,18.0,15.0,2.5,2.0
21,soldier_caught,0,21,-31.535904,0,-1,-1,1.3610947,14.551631,1.3610947,22.37159,12.0,18.0,15.0,2.5,2.0
22,soldier_caught,0,13,-5.9777603,0,-1,-1,1.2649328,28.735502,1.2649328,31.115206,12.0,18.0,15.0,2.5,2.0
23,intercepted,1,10,269.2268,1,10,10,13.11458,1.575432,13.11458,1.575432,12.0,18.0,15.0,2.5,2.0
24,soldier_caught,0,39,-76.98407,0,-1,-1,1.4354725,21.843542,1.4354725,48.787342,12.0,18.0,15.0,2.5,2.0
25,soldier_caught,0,53,95.443436,1,7,-1,1.1488779,2.1547227,1.1488779,2.1547227,12.0,18.0,15.0,2.5,2.0
26,soldier_caught,0,20,68.61833,0,-1,-1,1.3346289,16.55187,1.3346289,40.52176,12.0,18.0,15.0,2.5,2.0
27,intercepted,1,10,284.41,1,9,10,7.643103,1.7257404,7.643103,1.7257404,12.0,18.0,15.0,2.5,2.0
28,soldier_caught,0,14,20.072891,0,-1,-1,1.459254,33.876114,1.459254,36.04773,12.0,18.0,15.0,2.5,2.0
29,soldier_caught,0,17,-17.432388,1,8,-1,0.7589478,8.747048,0.7589478,22.859728,12.0,18.0,15.0,2.5,2.0
30,soldier_caught,0,15,-57.21949,0,-1,-1,1.4633487,20.571249,1.4633487,29.663923,12.0,18.0,15.0,2.5,2.0
31,soldier_caught,0,34,-30.611893,0,-1,-1,1.0573149,16.500498,1.0573149,43.196144,12.0,18.0,15.0,2.5,2.0
32,soldier_caught,0,47,43.902664,1,41,-1,1.8069997,15.25815,1.8069997,34.455128,12.0,18.0,15.0,2.5,2.0
33,soldier_caught,0,28,-33.73426,0,-1,-1,1.073641,21.661291,1.073641,41.989105,12.0,18.0,15.0,2.5,2.0
34,soldier_caught,0,18,97.97067,1,12,-1,0.37315482,6.557771,0.37315482,9.901391,12.0,18.0,15.0,2.5,2.0
35,intercepted,1,16,303.6013,1,5,16,4.041692,2.4867818,4.402595,2.4867818,12.0,18.0,15.0,2.5,2.0
36,soldier_caught,0,22,-3.7798157,1,9,-1,0.99819374,6.302748,0.99819374,27.427729,12.0,18.0,15.0,2.5,2.0
37,soldier_caught,0,26,-161.06575,0,-1,-1,1.3867414,36.91865,1.3867414,57.879116,12.0,18.0,15.0,2.5,2.0
38,soldier_caught,0,18,92.4082,1,15,-1,1.6892382,7.24988,1.6892382,21.216284,12.0,18.0,15.0,2.5,2.0
39,soldier_caught,0,10,-102.95524,0,-1,-1,0.950606,44.227463,0.950606,51.84131,12.0,18.0,15.0,2.5,2.0
40,soldier_caught,0,28,51.289474,0,-1,-1,1.6922307,14.681685,1.6922307,21.370447,12.0,18.0,15.0,2.5,2.0
41,soldier_caught,0,29,-50.11789,1,8,-1,0.64181113,6.1393294,0.64181113,24.983833,12.0,18.0,15.0,2.5,2.0
42,soldier_caught,0,11,55.204666,0,-1,-1,0.9250217,18.100561,0.9250217,21.687454,12.0,18.0,15.0,2.5,2.0
43,intercepted,1,38,341.52866,1,27,38,2.1626189,2.4447315,3.6875505,2.4447315,12.0,18.0,15.0,2.5,2.0
44,soldier_caught,0,20,42.731293,1,12,-1,1.9934251,10.844074,1.9934251,10.844074,12.0,18.0,15.0,2.5,2.0
45,soldier_caught,0,24,-30.274826,1,6,-1,1.1864974,4.572564,1.1864974,37.194935,12.0,18.0,15.0,2.5,2.0
46,soldier_caught,0,55,6.476822,1,12,-1,0.9101469,11.8595915,0.9101469,35.46763,12.0,18.0,15.0,2.5,2.0
47,soldier_caught,0,33,-58.149193,1,13,-1,1.8253876,10.385667,1.8253876,47.53159,12.0,18.0,15.0,2.5,2.0
48,soldier_caught,0,26,-8.392639,0,-1,-1,1.34607,19.150452,1.34607,35.841225,12.0,18.0,15.0,2.5,2.0
49,soldier_caught,0,27,-14.655441,0,-1,-1,1.3598264,20.161442,1.3598264,30.47035,12.0,18.0,15.0,2.5,2.0
50,soldier_caught,0,25,122.20041,1,9,-1,1.3670374,8.691668,1.3670374,25.56496,12.0,18.0,15.0,2.5,2.0
51,soldier_caught,0,44,-27.81749,1,35,-1,1.674909,5.9317093,1.674909,36.385258,12.0,18.0,15.0,2.5,2.0
52,soldier_caught,0,13,9.239906,0,-1,-1,1.447654,25.178864,1.447654,33.59072,12.0,18.0,15.0,2.5,2.0
53,soldier_caught,0,24,61.843796,1,10,-1,1.591576,3.317555,1.591576,24.72069,12.0,18.0,15.0,2.5,2.0
54,unsafe_intercept,0,44,9.900192,1,4,-1,2.049472,2.4160345,3.4743135,2.4160345,12.0,18.0,15.0,2.5,2.0
55,soldier_caught,0,41,-62.06514,1,21,-1,0.13557504,2.5672104,0.13557504,51.20679,12.0,18.0,15.0,2.5,2.0
56,soldier_caught,0,25,96.15216,1,24,-1,1.7680405,14.841777,1.7680405,26.84849,12.0,18.0,15.0,2.5,2.0
57,soldier_caught,0,10,104.611664,1,8,-1,1.9541034,5.53535,1.9541034,19.607967,12.0,18.0,15.0,2.5,2.0
58,soldier_caught,0,17,113.58386,1,8,-1,1.6976199,8.503285,1.6976199,15.74864,12.0,18.0,15.0,2.5,2.0
59,soldier_caught,0,38,-42.816322,0,-1,-1,1.037442,25.35318,1.037442,48.646393,12.0,18.0,15.0,2.5,2.0
60,soldier_caught,0,50,-115.9403,1,11,-1,1.8266407,3.710736,1.8266407,47.48622,12.0,18.0,15.0,2.5,2.0
61,soldier_caught,0,33,29.069244,1,28,-1,0.5286919,10.396059,0.5286919,20.693964,12.0,18.0,15.0,2.5,2.0
62,soldier_caught,0,14,-33.616196,0,-1,-1,1.0192362,32.766655,1.0192362,36.054886,12.0,18.0,15.0,2.5,2.0
63,soldier_caught,0,18,28.72017,0,-1,-1,1.4749093,22.229454,1.4749093,47.056522,12.0,18.0,15.0,2.5,2.0
64,soldier_caught,0,17,-15.227509,1,7,-1,1.9121977,7.5398893,1.9121977,40.55307,12.0,18.0,15.0,2.5,2.0
