seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes
0,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,5.1727886,2.330034,1000
1,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,4.9198017,1.183494,1000
2,soldier_caught,0,15,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.9603179,3.5067348,1000
3,soldier_caught,0,19,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.27385512,3.5084527,1000
4,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,11.19192,2.0361912,1000
5,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,5.6748233,1.9011592,1000
6,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,8.45372,1.7548523,1000
7,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,19.877924,1.3885739,1000
8,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,10.514781,2.0044165,1000
9,unsafe_intercept,0,18,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.065928,1.932922,1000
10,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.3064314,0.37575302,1000
11,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,6.5241723,1.2884052,1000
12,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,6.3209047,1.2320967,1000
13,soldier_caught,0,30,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.1330692,2.6049125,1000
14,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,3.009009,1.2932632,1000
15,soldier_caught,0,17,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.7008288,2.2030265,1000
16,soldier_caught,0,21,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.9368945,3.618217,1000
17,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,4.2024636,1.7573109,1000
18,unsafe_intercept,0,16,1,15,-1,12.0,18.0,15.0,2.5,2.0,2.039224,1.1527262,1000
19,soldier_caught,0,24,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.9542849,2.8653166,1000
20,soldier_caught,0,15,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.2147266,2.5249226,1000
21,soldier_caught,0,17,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.62451726,5.192252,1000
22,soldier_caught,0,19,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8411186,0.63445127,1000
23,intercepted,1,22,1,6,22,12.0,18.0,15.0,2.5,2.0,2.21459,1.3956527,1000
24,intercepted,1,22,1,9,22,12.0,18.0,15.0,2.5,2.0,2.3987043,1.2005938,1000
25,intercepted,1,20,1,12,20,12.0,18.0,15.0,2.5,2.0,2.037263,1.4918596,1000
26,soldier_caught,0,17,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.8269093,3.385925,1000
27,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,7.643103,1.3670133,1000
28,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8513391,2.752795,1000
29,soldier_caught,0,36,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.4354254,2.5624402,1000
30,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,6.4382286,2.274809,1000
31,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,7.020872,1.8631604,1000
32,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,8.205008,1.6582981,1000
33,intercepted,1,15,1,8,15,12.0,18.0,15.0,2.5,2.0,2.733677,1.5872847,1000
34,soldier_caught,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.5476424,2.8532908,1000
35,intercepted,1,20,1,8,20,12.0,18.0,15.0,2.5,2.0,4.726845,2.1643963,1000
36,soldier_caught,0,28,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.2940813,2.7668746,1000
37,intercepted,1,12,1,8,12,12.0,18.0,15.0,2.5,2.0,6.902676,1.613482,1000
38,soldier_caught,0,18,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.6892382,3.9109166,1000
39,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4645547,5.5811067,1000
40,soldier_caught,0,20,1,17,-1,12.0,18.0,15.0,2.5,2.0,0.9679926,3.9754138,1000
41,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,5.864798,2.1428976,1000
42,soldier_caught,0,30,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.6227573,2.5121934,1000
43,soldier_caught,0,20,1,19,-1,12.0,18.0,15.0,2.5,2.0,0.58724827,0.94418126,1000
44,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4114468,2.8695717,1000
45,unsafe_intercept,0,11,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.5145445,0.5313496,1000
46,unsafe_intercept,0,43,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.0362773,1.325431,1000
47,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9022613,2.7615387,1000
48,intercepted,1,8,1,6,8,12.0,18.0,15.0,2.5,2.0,18.250135,2.1979012,1000
49,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,8.47322,1.6106403,1000
50,soldier_caught,0,17,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8457658,5.2669086,1000
51,intercepted,1,15,1,10,15,12.0,18.0,15.0,2.5,2.0,3.0592792,1.7057877,1000
52,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,14.485661,1.2002391,1000
53,unsafe_intercept,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.0743318,0.63497686,1000
54,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,6.765945,1.6393199,1000
55,intercepted,1,19,1,13,19,12.0,18.0,15.0,2.5,2.0,2.1245422,1.4906802,1000
