defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,standard_error,failure_rate,timeout_rate,mean_episode_length,detection_rate
10.0,8.0,1.25,100,64,0.64,0.048,0.36,0.0,19.41,1.0
10.0,10.0,1.0,100,62,0.62,0.048538644398046386,0.38,0.0,17.04,1.0
10.0,12.0,0.8333333333333334,100,49,0.49,0.04998999899979995,0.51,0.0,17.54,1.0
10.0,14.0,0.7142857142857143,100,27,0.27,0.044395945760846225,0.73,0.0,22.65,1.0
10.0,16.0,0.625,100,19,0.19,0.039230090491866064,0.81,0.0,31.85,1.0
10.0,18.0,0.5555555555555556,100,11,0.11,0.03128897569432403,0.89,0.0,40.84,1.0
12.0,8.0,1.5,100,62,0.62,0.048538644398046386,0.38,0.0,19.49,1.0
12.0,10.0,1.2,100,64,0.64,0.048,0.36,0.0,16.99,1.0
12.0,12.0,1.0,100,56,0.56,0.04963869458396342,0.44,0.0,16.48,1.0
12.0,14.0,0.8571428571428571,100,46,0.46,0.04983974317750845,0.54,0.0,20.73,1.0
12.0,16.0,0.75,100,35,0.35,0.047696960070847276,0.65,0.0,26.64,1.0
12.0,18.0,0.6666666666666666,100,24,0.24,0.04270831300812525,0.76,0.0,35.05,1.0
14.0,8.0,1.75,100,64,0.64,0.048,0.36,0.0,19.54,1.0
14.0,10.0,1.4,100,62,0.62,0.048538644398046386,0.38,0.0,16.5,1.0
14.0,12.0,1.1666666666666667,100,54,0.54,0.04983974317750845,0.46,0.0,16.77,1.0
14.0,14.0,1.0,100,49,0.49,0.04998999899979995,0.51,0.0,21.05,1.0
14.0,16.0,0.875,100,37,0.37,0.048280430818293245,0.63,0.0,27.9,1.0
14.0,18.0,0.7777777777777778,100,31,0.31,0.04624932431938871,0.69,0.0,28.86,1.0
16.0,8.0,2.0,100,62,0.62,0.048538644398046386,0.38,0.0,19.46,1.0
16.0,10.0,1.6,100,56,0.57,0.04950757517794625,0.43,0.0,17.08,1.0
16.0,12.0,1.3333333333333333,100,59,0.59,0.04918333050943175,0.41,0.0,16.09,1.0
16.0,14.0,1.1428571428571428,100,56,0.56,0.04963869458396342,0.44,0.0,18.24,1.0
16.0,16.0,1.0,100,49,0.49,0.04998999899979995,0.51,0.0,22.91,1.0
16.0,18.0,0.8888888888888888,100,32,0.32,0.0466476151587624,0.68,0.0,28.07,1.0
18.0,8.0,2.25,100,56,0.57,0.04950757517794625,0.43,0.0,19.91,1.0
18.0,10.0,1.8,100,54,0.54,0.04983974317750845,0.46,0.0,16.93,1.0
18.0,12.0,1.5,100,52,0.52,0.049959983987187186,0.48,0.0,16.37,1.0
18.0,14.0,1.2857142857142858,100,57,0.58,0.04935585071701227,0.42,0.0,17.52,1.0
18.0,16.0,1.125,100,50,0.5,0.05,0.5,0.0,19.73,1.0
18.0,18.0,1.0,100,50,0.5,0.05,0.5,0.0,25.16,1.0
20.0,8.0,2.5,100,53,0.53,0.04990991885387112,0.47,0.0,20.03,1.0
20.0,10.0,2.0,100,44,0.44,0.04963869458396343,0.56,0.0,18.09,1.0
20.0,12.0,1.6666666666666667,100,54,0.54,0.04983974317750845,0.46,0.0,16.02,1.0
20.0,14.0,1.4285714285714286,100,60,0.6,0.04898979485566356,0.4,0.0,17.55,1.0
20.0,16.0,1.25,100,54,0.54,0.04983974317750845,0.46,0.0,21.63,1.0
20.0,18.0,1.1111111111111112,100,51,0.51,0.04998999899979995,0.49,0.0,23.81,1.0
22.0,8.0,2.75,100,46,0.46,0.04983974317750845,0.54,0.0,20.66,1.0
22.0,10.0,2.2,100,45,0.45,0.049749371855331,0.55,0.0,17.81,1.0
22.0,12.0,1.8333333333333333,100,67,0.67,0.04702127178203499,0.33,0.0,17.05,1.0
22.0,14.0,1.5714285714285714,100,59,0.59,0.04918333050943175,0.41,0.0,15.55,1.0
22.0,16.0,1.375,100,63,0.63,0.048280430818293245,0.37,0.0,18.87,1.0
22.0,18.0,1.2222222222222223,100,62,0.62,0.048538644398046386,0.38,0.0,22.33,1.0
