seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
0,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,13.222347,2.0005713,1000,unknown,0.5371703803539276,0.7001650929450989
1,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,7.48716,1.6668384,1000,unknown,0.9541826844215393,0.8617111444473267
2,soldier_caught,0,15,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.9603179,2.7310853,1000,unknown,1.233489352464676,2.3107287883758545
3,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,5.2296,1.9962989,1000,unknown,1.184329554438591,2.5891971588134766
4,soldier_caught,0,17,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.7966875,4.6303663,1000,unknown,1.8800210406382878,4.309237480163574
5,unsafe_intercept,0,14,1,13,-1,12.0,18.0,15.0,2.5,2.0,2.0448174,1.5052812,1000,unknown,0.7231918722391129,1.0153412818908691
6,unsafe_intercept,0,22,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.9291706,1.6548289,1000,unknown,3.079290751899992,1.6905744075775146
7,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,6.11943,1.0678186,1000,unknown,1.0898765722910564,0.9952380657196045
8,unsafe_intercept,0,34,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.1364446,0.74680203,1000,unknown,2.610276854286591,1.4356162548065186
9,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,5.381633,1.3816389,1000,unknown,1.0064418256282806,1.220625877380371
10,unsafe_intercept,0,18,1,8,-1,12.0,18.0,15.0,2.5,2.0,3.3238063,1.0919274,1000,unknown,2.4396404136310923,2.446122884750366
11,intercepted,1,32,1,11,32,12.0,18.0,15.0,2.5,2.0,2.8888068,2.2033198,1000,unknown,2.5977555106986654,2.2849016189575195
12,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,6.3209047,1.8965944,1000,unknown,0.6149669090906779,0.757882833480835
13,intercepted,1,30,1,14,30,12.0,18.0,15.0,2.5,2.0,2.8885307,2.211653,1000,unknown,3.0296630578882553,2.010847806930542
14,intercepted,1,23,1,9,23,12.0,18.0,15.0,2.5,2.0,2.0742862,2.0103395,1000,unknown,2.4534710089365643,1.1674952507019043
15,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,4.0455523,1.8401263,1000,unknown,1.6716837018728257,4.136016845703125
16,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,8.241826,2.2854495,1000,unknown,1.1393844187259674,0.8678763508796692
17,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,6.7173543,2.1745408,1000,unknown,0.8109885305166245,1.2150492668151855
18,soldier_caught,0,21,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.4657803,3.9450345,1000,unknown,1.9549417030066252,2.8700504302978516
19,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,8.117375,1.6891222,1000,unknown,1.283652901649475,1.2057147026062012
20,soldier_caught,0,17,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.3437619,3.8916686,1000,unknown,1.9373487114906311,2.3210999965667725
21,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,4.0383563,2.212664,1000,unknown,0.9327778021494547,0.5001898407936096
