defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,mean_episode_length,failure_rate,timeout_rate,mean_tracking_error
10.0,8.0,1.25,100,49,0.49,0.04998999899979995,20.04,0.51,0.0,1.0430279964924956
10.0,10.0,1.0,100,56,0.56,0.04963869458396342,17.17,0.44,0.0,1.2295829796520092
10.0,12.0,0.8333333333333334,100,41,0.41,0.04918333050943175,17.91,0.59,0.0,1.6462556045034518
10.0,14.0,0.7142857142857143,100,31,0.31,0.04624932431938871,21.88,0.69,0.0,2.140250322500848
10.0,16.0,0.625,100,14,0.14,0.03469870314579494,33.47,0.86,0.0,2.861283213872663
10.0,18.0,0.5555555555555556,100,10,0.1,0.030000000000000002,47.02,0.9,0.0,3.4095238335544535
12.0,8.0,1.5,100,56,0.56,0.04963869458396342,19.79,0.44,0.0,1.084532127498704
12.0,10.0,1.2,100,52,0.52,0.049959983987187186,17.59,0.48,0.0,1.3243777536871608
12.0,12.0,1.0,100,50,0.5,0.05,17.54,0.5,0.0,1.6829378236836265
12.0,14.0,0.8571428571428571,100,35,0.35,0.047696960070847276,19.72,0.65,0.0,2.015764045880668
12.0,16.0,0.75,100,21,0.21,0.0407308237088326,30.02,0.79,0.0,2.7901708930881792
12.0,18.0,0.6666666666666666,100,17,0.17,0.0375632799419859,40.5,0.83,0.0,3.2191645503715027
14.0,8.0,1.75,100,59,0.59,0.04918333050943175,19.82,0.41,0.0,1.0818218219654359
14.0,10.0,1.4,100,47,0.47,0.04990991885387112,17.63,0.53,0.0,1.301982343704659
14.0,12.0,1.1666666666666667,100,51,0.51,0.04998999899979995,17.13,0.49,0.0,1.6121848929089324
14.0,14.0,1.0,100,49,0.49,0.04998999899979995,18.89,0.51,0.0,2.0204831816578337
14.0,16.0,0.875,100,31,0.31,0.04624932431938871,25.88,0.69,0.0,2.7064832760800988
14.0,18.0,0.7777777777777778,100,22,0.22,0.04142463035441596,33.68,0.78,0.0,3.2327089008818786
16.0,8.0,2.0,100,50,0.5,0.05,20.33,0.5,0.0,1.1409978796760196
16.0,10.0,1.6,100,56,0.56,0.04963869458396342,17.51,0.44,0.0,1.321127923049663
16.0,12.0,1.3333333333333333,100,53,0.53,0.04990991885387112,17.19,0.47,0.0,1.6533675310274876
16.0,14.0,1.1428571428571428,100,53,0.53,0.04990991885387112,17.07,0.47,0.0,1.8897855201608096
16.0,16.0,1.0,100,47,0.47,0.04990991885387112,22.66,0.53,0.0,2.5920171296867274
16.0,18.0,0.8888888888888888,100,45,0.45,0.049749371855331,29.27,0.55,0.0,3.051661244487682
18.0,8.0,2.25,100,47,0.47,0.04990991885387112,20.19,0.53,0.0,1.1381504547256671
18.0,10.0,1.8,100,49,0.49,0.04998999899979995,18.16,0.51,0.0,1.4248822081153694
18.0,12.0,1.5,100,61,0.61,0.048774993593028795,16.05,0.39,0.0,1.5128966713497867
18.0,14.0,1.2857142857142858,100,63,0.63,0.048280430818293245,15.59,0.37,0.0,1.7599643569775025
18.0,16.0,1.125,100,50,0.5,0.05,20.36,0.5,0.0,2.560472598621919
18.0,18.0,1.0,100,48,0.48,0.049959983987187186,22.07,0.52,0.0,2.849243313607734
20.0,8.0,2.5,100,40,0.4,0.04898979485566356,20.58,0.6,0.0,1.192440165313598
20.0,10.0,2.0,100,49,0.49,0.04998999899979995,18.55,0.51,0.0,1.4513099785072499
20.0,12.0,1.6666666666666667,100,47,0.47,0.04990991885387112,16.9,0.53,0.0,1.7451174265277831
20.0,14.0,1.4285714285714286,100,52,0.52,0.049959983987187186,15.57,0.48,0.0,1.7304892656569886
20.0,16.0,1.25,100,59,0.59,0.04918333050943175,18.41,0.41,0.0,2.3257479782611696
20.0,18.0,1.1111111111111112,100,54,0.54,0.04983974317750845,20.45,0.46,0.0,2.667483617161959
22.0,8.0,2.75,100,31,0.31,0.04624932431938871,21.49,0.69,0.0,1.2994652102879711
22.0,10.0,2.2,100,36,0.36,0.048,18.99,0.64,0.0,1.5587681141011323
22.0,12.0,1.8333333333333333,100,52,0.52,0.049959983987187186,17.37,0.48,0.0,1.7540363994969703
22.0,14.0,1.5714285714285714,100,54,0.54,0.04983974317750845,16.56,0.46,0.0,1.8905187513363153
22.0,16.0,1.375,100,61,0.61,0.048774993593028795,18.65,0.39,0.0,2.332164293857071
22.0,18.0,1.2222222222222223,100,56,0.56,0.04963869458396342,19.03,0.44,0.0,2.538869093261405
